signs,sentence
ami manger bientot avec moi,Mon ami mange avec moi bientôt.
ami aller bientot avec moi,Mon ami part avec moi bientôt.
moi aller ici bientot avec ami,Je pars avec mon ami ici bientôt.
oui tu vouloir manger,Oui tu veux manger !
oui tu aimer ami,Oui tu aimes mon ami !
oui nous vouloir aller,Oui nous voulons aller !
oui nous vouloir apprendre,Oui nous voulons apprendre !
oui ami vouloir manger,Oui mon ami veut manger !
non tu non vouloir aide,Non tu ne veux pas d'aide !
non tu non vouloir manger,Non tu ne veux pas manger !
non nous non vouloir aller,Non nous ne voulons pas aller !
non ami non vouloir manger,Non mon ami ne veut pas manger !
moi vouloir manger avec ami aujourd hui,Aujourd'hui je veux manger avec mon ami.
moi vouloir boire avec ami aujourd hui,Aujourd'hui je veux boire avec mon ami.
moi vouloir aller avec ami aujourd hui,Aujourd'hui je veux aller avec mon ami.
tu vouloir aller avec moi aujourd hui,Aujourd'hui tu veux aller avec moi.
nous vouloir manger avec ami aujourd hui,Aujourd'hui nous voulons manger avec mon ami.
ami vouloir manger avec moi aujourd hui,Aujourd'hui mon ami veut manger avec moi.
ami vouloir aller avec moi aujourd hui,Aujourd'hui mon ami veut aller avec moi.
moi vouloir manger avec ami bientot,Je veux manger avec mon ami bientôt.
moi vouloir apprendre avec ami bientot,Je veux apprendre avec mon ami bientôt.
nous vouloir apprendre avec ami bientot,Nous voulons apprendre avec mon ami bientôt.
ami vouloir aller avec moi bientot,Mon ami veut aller avec moi bientôt.
moi aimer manger ici,J'aime manger ici.
moi aimer boire ici,J'aime boire ici.
moi aimer apprendre ici,J'aime apprendre ici.
tu aimer apprendre ici,Tu aimes apprendre ici.
ami aimer manger ici,Mon ami aime manger ici.
ami aimer apprendre ici,Mon ami aime apprendre ici.
moi aimer manger avec ami ici,J'aime manger avec mon ami ici.
moi aimer apprendre avec ami ici,J'aime apprendre avec mon ami ici.
moi non aimer manger ici,Je n'aime pas manger ici.
moi non aimer apprendre ici,Je n'aime pas apprendre ici.
tu non aimer manger ici,Tu n'aimes pas manger ici.
tu vouloir manger ici,Tu veux manger ici.
tu vouloir apprendre ici,Tu veux apprendre ici.
nous vouloir manger ici,Nous voulons manger ici.
nous vouloir apprendre ici,Nous voulons apprendre ici.
ami vouloir manger ici,Mon ami veut manger ici.
ami vouloir apprendre ici,Mon ami veut apprendre ici.
moi non vouloir manger ici,Je ne veux pas manger ici.
tu non vouloir manger ici,Tu ne veux pas manger ici.
ami non vouloir aller ici,Mon ami ne veut pas aller ici.
moi apprendre bien avec ami,J'apprends avec mon ami bien.
moi comprendre bien avec ami,Je comprends avec mon ami bien.
tu apprendre bien avec moi,Tu apprends avec moi bien.
nous apprendre bien avec ami,Nous apprenons avec mon ami bien.
ami apprendre bien avec moi,Mon ami apprend avec moi bien.
moi apprendre bien ici,J'apprends bien ici.
moi comprendre bien ici,Je comprends bien ici.
tu apprendre bien ici,Tu apprends bien ici.
nous apprendre bien ici,Nous apprenons bien ici.
ami apprendre bien ici,Mon ami apprend bien ici.
moi manger bien avec ami,Je mange avec mon ami bien.
tu manger bien avec moi,Tu manges avec moi bien.
nous manger bien avec ami,Nous mangeons avec mon ami bien.
moi boire bien avec ami,Je bois avec mon ami bien.
moi manger bien ici,Je mange bien ici.
tu manger bien ici,Tu manges bien ici.
nous manger bien ici,Nous mangeons bien ici.
ami manger bien ici,Mon ami mange bien ici.
moi aller bien avec ami,Je pars avec mon ami bien.
moi aller bien ici,Je pars bien ici.
aujourd hui moi apprendre bien avec ami,Aujourd'hui j'apprends avec mon ami bien.
aujourd hui tu apprendre bien avec moi,Aujourd'hui tu apprends avec moi bien.
aujourd hui nous apprendre bien avec ami,Aujourd'hui nous apprenons avec mon ami bien.
aujourd hui moi manger bien avec ami,Aujourd'hui je mange avec mon ami bien.
aujourd hui moi aller bien avec ami,Aujourd'hui je pars avec mon ami bien.
moi vouloir apprendre bien,Je veux apprendre bien.
moi vouloir comprendre bien,Je veux comprendre bien.
tu vouloir apprendre bien,Tu veux apprendre bien.
nous vouloir apprendre bien,Nous voulons apprendre bien.
ami vouloir apprendre bien,Mon ami veut apprendre bien.
moi aimer apprendre bien,J'aime apprendre bien.
moi aimer comprendre bien,J'aime comprendre bien.
tu aimer apprendre bien,Tu aimes apprendre bien.
nous aimer apprendre bien,Nous aimons apprendre bien.
ami aimer apprendre bien,Mon ami aime apprendre bien.
oui tu apprendre bien,Oui tu apprends bien !
oui nous apprendre bien,Oui nous apprenons bien !
oui ami apprendre bien,Oui mon ami apprend bien !
non moi non apprendre bien,Non je n'apprends pas bien !
non tu non apprendre bien,Non tu n'apprends pas bien !
non ami non comprendre bien,Non mon ami ne comprend pas bien !
moi aimer ami amour,J'aime mon ami de l'amour.
tu aimer moi amour,Tu m'aimes de l'amour.
ami aimer moi amour,Mon ami m'aime de l'amour.
nous aimer amour bien,Nous aimons de l'amour bien.
tu vouloir amour aujourd hui,Aujourd'hui tu veux de l'amour.
ami vouloir amour aujourd hui,Aujourd'hui mon ami veut de l'amour.
ami non vouloir amour,Mon ami ne veut pas d'amour.
bonjour amour bien,Bonjour de l'amour bien !
au revoir amour bientot,Au revoir de l'amour bientôt !
tu aimer bebe bien,Tu aimes le bébé bien.
nous aimer bebe bien,Nous aimons le bébé bien.
ami aimer bebe bien,Mon ami aime le bébé bien.
moi vouloir aide bebe,Je veux de l'aide le bébé.
tu vouloir aide bebe,Tu veux de l'aide le bébé.
nous vouloir aide bebe,Nous voulons de l'aide le bébé.
ami vouloir aide bebe,Mon ami veut de l'aide le bébé.
moi donner aide bebe aujourd hui,Aujourd'hui je donne de l'aide au bébé.
tu donner aide bebe aujourd hui,Aujourd'hui tu donnes de l'aide au bébé.
ami donner aide bebe aujourd hui,Aujourd'hui mon ami donne de l'aide au bébé.
nous aimer chat bien,Nous aimons le chat bien.
ami aimer chat bien,Mon ami aime le chat bien.
chat manger bien ici,Le chat mange bien ici.
chat boire bien ici,Le chat boit bien ici.
bebe manger bien ici,Le bébé mange bien ici.
bebe boire bien ici,Le bébé boit bien ici.
bebe aller avec moi aujourd hui,Aujourd'hui le bébé part avec moi.
chat aller avec ami bientot,Le chat part avec mon ami bientôt.
moi aimer chat manger,J'aime le chat.
moi aimer bebe manger,J'aime le bébé.
ami aimer chat boire,Mon ami aime le chat.
moi changer bientot avec ami,Je change avec mon ami bientôt.
tu changer bientot avec moi,Tu changes avec moi bientôt.
nous changer bientot avec ami,Nous changeons avec mon ami bientôt.
moi changer aujourd hui avec ami,Aujourd'hui je change avec mon ami.
tu changer aujourd hui avec moi,Aujourd'hui tu changes avec moi.
nous changer aujourd hui avec ami,Aujourd'hui nous changeons avec mon ami.
ami changer aujourd hui avec moi,Aujourd'hui mon ami change avec moi.
tu vouloir changer avec moi,Tu veux changer avec moi.
nous vouloir changer avec ami,Nous voulons changer avec mon ami.
ami vouloir changer avec moi,Mon ami veut changer avec moi.
moi aimer changer avec ami,J'aime changer avec mon ami.
moi non vouloir changer avec tu,Je ne veux pas changer avec toi.
ami non vouloir changer avec moi,Mon ami ne veut pas changer avec moi.
aujourd hui moi vouloir changer avec ami,Aujourd'hui je veux changer avec mon ami.
moi comprendre tu,Je te comprends.
tu comprendre moi,Tu me comprends.
moi non comprendre tu,Je ne te comprends pas.
tu non comprendre moi,Tu ne me comprends pas.
ami comprendre moi,Mon ami me comprend.
ami comprendre tu,Mon ami te comprend.
ami non comprendre moi,Mon ami ne me comprend pas.
nous comprendre ami,Nous comprenons mon ami.
nous non comprendre ami,Nous ne comprenons pas mon ami.
moi vouloir comprendre tu,Je veux comprendre.
tu vouloir comprendre moi,Tu veux comprendre.
ami vouloir comprendre moi,Mon ami veut comprendre.
moi aimer comprendre tu,Je t'aime comprendre.
aujourd hui moi comprendre ami,Aujourd'hui je comprends mon ami.
aujourd hui ami comprendre moi,Aujourd'hui mon ami me comprend.
aujourd hui tu comprendre moi bien,Aujourd'hui tu me comprends bien.
moi apprendre avec ami aujourd hui,Aujourd'hui j'apprends avec mon ami.
tu apprendre avec ami aujourd hui,Aujourd'hui tu apprends avec mon ami.
nous apprendre avec ami aujourd hui,Aujourd'hui nous apprenons avec mon ami.
ami apprendre avec moi aujourd hui,Aujourd'hui mon ami apprend avec moi.
tu vouloir apprendre avec ami,Tu veux apprendre avec mon ami.
nous vouloir apprendre avec tu,Nous voulons apprendre avec toi.
moi aimer apprendre avec tu,J'aime apprendre avec toi.
ami aimer apprendre avec tu,Mon ami aime apprendre avec toi.
non moi non vouloir apprendre avec tu,Non je ne veux pas apprendre avec toi !
non ami non vouloir apprendre avec moi,Non mon ami ne veut pas apprendre avec moi !
moi attendre ami aujourd hui ici,Aujourd'hui j'attends mon ami ici.
tu attendre moi aujourd hui ici,Aujourd'hui tu m'attends ici.
ami attendre moi aujourd hui ici,Aujourd'hui mon ami m'attend ici.
nous attendre ami aujourd hui ici,Aujourd'hui nous attendons mon ami ici.
moi attendre ami bientot ici,J'attends mon ami bientôt ici.
tu attendre moi bientot ici,Tu m'attends bientôt ici.
ami attendre moi bientot ici,Mon ami m'attend bientôt ici.
tu vouloir attendre moi,Tu veux attendre.
ami vouloir attendre moi,Mon ami veut attendre.
ami non vouloir attendre,Mon ami ne veut pas attendre.
aujourd hui moi attendre ami avec tu,Aujourd'hui j'attends mon ami avec toi.
aujourd hui ami attendre moi avec tu,Aujourd'hui mon ami m'attend avec toi.
moi donner aide ami aujourd hui ici,Aujourd'hui je donne de l'aide à mon ami ici.
tu donner aide moi aujourd hui ici,Aujourd'hui tu me donnes de l'aide ici.
ami donner aide moi aujourd hui ici,Aujourd'hui mon ami me donne de l'aide ici.
nous donner aide ami aujourd hui ici,Aujourd'hui nous donnons de l'aide à mon ami ici.
ami vouloir donner aide,Mon ami veut de l'aide.
ami aimer donner aide,Mon ami aime de l'aide.
nous aimer donner aide,Nous aimons de l'aide.
comment moi donner aide,Comment je donne de l'aide ?
comment nous donner aide,Comment nous donnons de l'aide ?
comment ami donner aide moi,Comment mon ami me donne de l'aide ?
comment moi attendre ami ici,Comment j'attends mon ami ici ?
comment tu attendre moi ici,Comment tu m'attends ici ?
comment ami attendre moi,Comment mon ami m'attend ?
comment nous attendre ami,Comment nous attendons mon ami ?
comment moi vouloir aide aujourd hui,Aujourd'hui Comment je veux de l'aide ?
comment tu vouloir apprendre avec ami,Comment tu veux apprendre avec mon ami ?
comment moi aimer ami bien,Comment j'aime mon ami bien ?
comment ami aimer moi,Comment mon ami m'aime ?
oui bien,Oui bien !
non non bien,Non Non bien !
comment moi bien,Moi bien.
merci moi bien,Merci moi bien !
moi bon bien,Moi bien bien.
tu bon bien,Toi bien bien.
ami bon bien,Mon ami bien bien.
moi non bon bien,Moi bien bien.
tu aller bien avec moi,Tu pars avec moi bien.
nous aller bien avec ami,Nous partons avec mon ami bien.
ami aller bien avec moi,Mon ami part avec moi bien.
moi apprendre bien avec tu aujourd hui,Aujourd'hui j'apprends avec toi bien.
tu apprendre bien avec moi aujourd hui,Aujourd'hui tu apprends avec moi bien.
nous apprendre bien avec ami aujourd hui,Aujourd'hui nous apprenons avec mon ami bien.
ami apprendre bien avec moi aujourd hui,Aujourd'hui mon ami apprend avec moi bien.
moi manger bien avec ami aujourd hui,Aujourd'hui je mange avec mon ami bien.
moi boire bien avec ami aujourd hui,Aujourd'hui je bois avec mon ami bien.
moi aller bien avec ami aujourd hui,Aujourd'hui je pars avec mon ami bien.
moi apprendre bien avec ami bientot,J'apprends avec mon ami bien bientôt.
moi manger bien avec ami bientot,Je mange avec mon ami bien bientôt.
moi aller bien avec ami bientot,Je pars avec mon ami bien bientôt.
aujourd hui moi aller bien,Aujourd'hui je pars bien.
aujourd hui tu aller bien,Aujourd'hui tu pars bien.
aujourd hui ami aller bien,Aujourd'hui mon ami part bien.
aujourd hui nous aller bien,Aujourd'hui nous partons bien.
aujourd hui moi non aller bien,Aujourd'hui je ne pars pas bien.
aujourd hui ami non aller bien,Aujourd'hui mon ami ne part pas bien.
bonjour comment tu bien,Bonjour toi bien !
bonjour moi aller bien bientot,Bonjour je pars bien bientôt !
merci tu bien,Merci toi bien !
au revoir tu bien,Au revoir toi bien !
moi aller avec bebe,Je pars avec le bébé.
tu aller avec bebe,Tu pars avec le bébé.
ami aller avec bebe,Mon ami part avec le bébé.
nous aller avec bebe,Nous partons avec le bébé.
moi manger avec bebe,Je mange avec le bébé.
ami manger avec bebe,Mon ami mange avec le bébé.
moi aller avec chat,Je pars avec le chat.
ami aller avec chat,Mon ami part avec le chat.
nous aller avec chat,Nous partons avec le chat.
moi manger avec chat,Je mange avec le chat.
bebe aller avec chat,Le bébé part avec le chat.
bebe aimer aller avec chat,Le bébé aime aller avec le chat.
moi vouloir aller avec bebe,Je veux aller avec le bébé.
moi vouloir aller avec chat,Je veux aller avec le chat.
tu vouloir aller avec bebe,Tu veux aller avec le bébé.
moi aimer aller avec bebe,J'aime aller avec le bébé.
moi aimer aller avec chat,J'aime aller avec le chat.
ami aimer aller avec bebe,Mon ami aime aller avec le bébé.
ami aimer aller avec chat,Mon ami aime aller avec le chat.
aujourd hui moi aller avec bebe,Aujourd'hui je pars avec le bébé.
aujourd hui moi aller avec chat,Aujourd'hui je pars avec le chat.
aujourd hui ami aller avec bebe,Aujourd'hui mon ami part avec le bébé.
moi donner aide bebe ici,Je donne de l'aide au bébé ici.
moi attendre bebe ici,J'attends le bébé ici.
moi attendre bebe bientot,J'attends le bébé bientôt.
ami attendre bebe ici,Mon ami attend le bébé ici.
ami attendre bebe bientot,Mon ami attend le bébé bientôt.
moi non attendre bebe,Je n'attends pas le bébé.
moi non attendre chat,Je n'attends pas le chat.
comment moi aller avec bebe,Comment je pars avec le bébé ?
comment moi donner aide bebe,Comment je donne de l'aide au bébé ?
oui moi aller avec bebe,Oui je pars avec le bébé !
tu non ici,Toi ici.
ami ici avec moi,Mon ami ici.
ami ici avec tu,Mon ami ici.
nous ici avec ami,Nous ici.
moi ici avec ami,Moi ici.
moi ici bientot,Moi ici bientôt.
tu ici bientot,Toi ici bientôt.
ami ici bientot,Mon ami ici bientôt.
nous ici bientot,Nous ici bientôt.
moi ici aujourd hui,Aujourd'hui moi ici.
tu ici aujourd hui,Aujourd'hui toi ici.
ami ici aujourd hui,Aujourd'hui mon ami ici.
nous ici aujourd hui,Aujourd'hui nous ici.
bonjour moi ici,Bonjour moi ici !
bonjour ami ici,Bonjour mon ami ici !
oui moi ici,Oui moi ici !
non moi non ici,Non moi ici !
aujourd hui ami ici,Aujourd'hui mon ami ici.
aujourd hui nous ici,Aujourd'hui nous ici.
moi ici avec bebe,Moi ici.
moi ici avec chat,Moi ici.
ami ici avec bebe,Mon ami ici.
ami ici avec nous,Mon ami ici.
moi bientot,Moi bientôt.
tu bientot,Toi bientôt.
nous bientot,Nous bientôt.
chat bientot,Le chat bientôt.
bonjour bientot,Bonjour bientôt !
moi bientot avec ami,Moi bientôt.
ami bientot avec moi,Mon ami bientôt.
ami bientot ici,Mon ami bientôt ici.
moi bientot ici,Moi bientôt ici.
nous bientot ici,Nous bientôt ici.
aujourd hui bientot,Aujourd'hui bientôt.
moi aujourd hui,Aujourd'hui moi.
tu aujourd hui,Aujourd'hui toi.
ami aujourd hui,Aujourd'hui mon ami.
nous aujourd hui,Aujourd'hui nous.
bebe aujourd hui,Aujourd'hui le bébé.
bonjour aujourd hui,Bonjour.
ami aujourd hui avec moi,Aujourd'hui mon ami.
moi aujourd hui ici,Aujourd'hui moi ici.
nous aujourd hui ici,Aujourd'hui nous ici.
moi aujourd hui bientot,Aujourd'hui moi bientôt.
tu vouloir aide bien,Tu veux de l'aide bien.
moi vouloir aide ici bien,Je veux de l'aide ici bien.
moi vouloir aide ami,Je veux de l'aide mon ami.
moi vouloir aide tu,Je veux de l'aide.
ami vouloir aide moi,Mon ami veut de l'aide.
ami donner aide bien,Mon ami donne de l'aide bien.
tu donner aide bien,Tu donnes de l'aide bien.
nous donner aide bien,Nous donnons de l'aide bien.
oui ami donner aide,Oui mon ami donne de l'aide !
non ami non donner aide,Non mon ami ne donne pas d'aide !
ami aimer aide,Mon ami aime de l'aide.
moi aimer donner aide ami,J'aime de l'aide mon ami.
ami aimer donner aide moi,Mon ami m'aime de l'aide.
nous aimer donner aide ami,Nous aimons de l'aide mon ami.
moi aimer attendre ami ici,J'aime mon ami ici.
tu aimer attendre moi ici,Tu m'aimes attendre ici.
ami aimer attendre moi ici,Mon ami m'aime attendre ici.
moi aimer manger avec bebe,J'aime manger avec le bébé.
moi aimer manger avec chat,J'aime manger avec le chat.
ami aimer manger avec bebe,Mon ami aime manger avec le bébé.
moi aimer apprendre avec bebe,J'aime apprendre avec le bébé.
moi vouloir manger avec bebe,Je veux manger avec le bébé.
moi vouloir manger avec chat,Je veux manger avec le chat.
tu vouloir manger avec bebe,Tu veux manger avec le bébé.
moi vouloir boire avec bebe,Je veux boire avec le bébé.
moi vouloir apprendre avec bebe,Je veux apprendre avec le bébé.
tu vouloir apprendre avec bebe,Tu veux apprendre avec le bébé.
moi vouloir aller avec bebe aujourd hui,Aujourd'hui je veux aller avec le bébé.
moi vouloir aller avec chat aujourd hui,Aujourd'hui je veux aller avec le chat.
ami vouloir aller avec bebe aujourd hui,Aujourd'hui mon ami veut aller avec le bébé.
moi aimer apprendre aujourd hui,Aujourd'hui j'aime apprendre.
moi aimer aller aujourd hui,Aujourd'hui j'aime aller.
moi aimer changer aujourd hui,Aujourd'hui j'aime changer.
tu aimer apprendre aujourd hui,Aujourd'hui tu aimes apprendre.
tu aimer manger aujourd hui,Aujourd'hui tu aimes manger.
tu aimer aller aujourd hui,Aujourd'hui tu aimes aller.
nous aimer apprendre aujourd hui,Aujourd'hui nous aimons apprendre.
nous aimer manger aujourd hui,Aujourd'hui nous aimons manger.
ami aimer apprendre aujourd hui,Aujourd'hui mon ami aime apprendre.
ami aimer manger aujourd hui,Aujourd'hui mon ami aime manger.
ami aimer aller aujourd hui,Aujourd'hui mon ami aime aller.
moi non aimer manger aujourd hui,Aujourd'hui je n'aime pas manger.
moi non aimer aller aujourd hui,Aujourd'hui je n'aime pas aller.
tu non aimer apprendre aujourd hui,Aujourd'hui tu n'aimes pas apprendre.
ami non aimer manger aujourd hui,Aujourd'hui mon ami n'aime pas manger.
moi vouloir manger ici avec ami,Je veux manger avec mon ami ici.
moi vouloir boire ici avec ami,Je veux boire avec mon ami ici.
moi vouloir apprendre ici avec ami,Je veux apprendre avec mon ami ici.
tu vouloir manger ici avec moi,Tu veux manger avec moi ici.
tu vouloir apprendre ici avec moi,Tu veux apprendre avec moi ici.
nous vouloir manger ici avec ami,Nous voulons manger avec mon ami ici.
nous vouloir apprendre ici avec ami,Nous voulons apprendre avec mon ami ici.
ami vouloir manger ici avec moi,Mon ami veut manger avec moi ici.
ami vouloir apprendre ici avec moi,Mon ami veut apprendre avec moi ici.
moi non vouloir boire ici,Je ne veux pas boire ici.
ami non vouloir manger ici,Mon ami ne veut pas manger ici.
nous non vouloir manger ici,Nous ne voulons pas manger ici.
moi aimer manger ici avec ami,J'aime manger avec mon ami ici.
tu aimer manger ici avec moi,Tu aimes manger avec moi ici.
nous aimer manger ici avec ami,Nous aimons manger avec mon ami ici.
ami aimer manger ici avec moi,Mon ami aime manger avec moi ici.
moi vouloir apprendre ici avec ami bientot,Je veux apprendre avec mon ami ici bientôt.
moi vouloir manger ici avec ami aujourd hui,Aujourd'hui je veux manger avec mon ami ici.
moi vouloir aller ici avec ami aujourd hui,Aujourd'hui je veux aller avec mon ami ici.
tu vouloir aller ici avec moi aujourd hui,Aujourd'hui tu veux aller avec moi ici.
nous vouloir aller ici avec ami aujourd hui,Aujourd'hui nous voulons aller avec mon ami ici.
ami vouloir aller ici avec moi aujourd hui,Aujourd'hui mon ami veut aller avec moi ici.
moi vouloir apprendre ici avec ami aujourd hui,Aujourd'hui je veux apprendre avec mon ami ici.
tu vouloir apprendre ici avec ami aujourd hui,Aujourd'hui tu veux apprendre avec mon ami ici.
nous vouloir apprendre ici avec ami aujourd hui,Aujourd'hui nous voulons apprendre avec mon ami ici.
moi vouloir aller ici avec ami bientot,Je veux aller avec mon ami ici bientôt.
tu vouloir aller ici avec moi bientot,Tu veux aller avec moi ici bientôt.
nous vouloir aller ici avec ami bientot,Nous voulons aller avec mon ami ici bientôt.
moi donner amour ami aujourd hui,Aujourd'hui je donne de l'amour à mon ami.
moi donner amour bebe aujourd hui,Aujourd'hui je donne de l'amour au bébé.
tu donner amour moi aujourd hui,Aujourd'hui tu me donnes de l'amour.
ami donner amour moi aujourd hui,Aujourd'hui mon ami me donne de l'amour.
tu donner amour moi bientot,Tu me donnes de l'amour bientôt.
moi donner amour ami ici,Je donne de l'amour à mon ami ici.
ami donner amour moi ici,Mon ami me donne de l'amour ici.
ami vouloir donner amour moi,Mon ami veut de l'amour.
moi aimer donner amour ami,J'aime de l'amour mon ami.
ami aimer donner amour moi,Mon ami m'aime de l'amour.
ami non donner amour moi,Mon ami ne me donne pas d'amour.
oui moi donner amour ami,Oui je donne de l'amour à mon ami !
moi aimer amour ami,J'aime de l'amour mon ami.
tu aimer amour moi,Tu m'aimes de l'amour.
ami aimer amour moi,Mon ami m'aime de l'amour.
nous aimer amour ami,Nous aimons de l'amour mon ami.
moi vouloir amour ami,Je veux de l'amour mon ami.
tu vouloir amour moi,Tu veux de l'amour.
ami vouloir amour moi,Mon ami veut de l'amour.
moi attendre amour,J'attends de l'amour.
moi non vouloir amour aujourd hui,Aujourd'hui je ne veux pas d'amour.
bonjour tu aimer amour,Bonjour tu aimes de l'amour !
merci tu amour,Merci toi de l'amour !
merci ami amour,Merci mon ami de l'amour !
moi changer avec amour,Je change de l'amour.
ami changer avec amour,Mon ami change de l'amour.
moi apprendre avec amour,J'apprends de l'amour.
moi aller avec amour,Je pars de l'amour.
moi apprendre aujourd hui bien,Aujourd'hui j'apprends bien.
tu apprendre aujourd hui bien,Aujourd'hui tu apprends bien.
ami apprendre aujourd hui bien,Aujourd'hui mon ami apprend bien.
nous apprendre aujourd hui bien,Aujourd'hui nous apprenons bien.
moi comprendre aujourd hui bien,Aujourd'hui je comprends bien.
tu comprendre aujourd hui bien,Aujourd'hui tu comprends bien.
ami comprendre aujourd hui bien,Aujourd'hui mon ami comprend bien.
moi manger aujourd hui bien,Aujourd'hui je mange bien.
tu manger aujourd hui bien,Aujourd'hui tu manges bien.
ami manger aujourd hui bien,Aujourd'hui mon ami mange bien.
nous manger aujourd hui bien,Aujourd'hui nous mangeons bien.
moi boire aujourd hui bien,Aujourd'hui je bois bien.
moi aller aujourd hui bien,Aujourd'hui je pars bien.
tu aller aujourd hui bien,Aujourd'hui tu pars bien.
ami aller aujourd hui bien,Aujourd'hui mon ami part bien.
moi apprendre bientot bien,J'apprends bientôt bien.
tu apprendre bientot bien,Tu apprends bientôt bien.
ami apprendre bientot bien,Mon ami apprend bientôt bien.
nous apprendre bientot bien,Nous apprenons bientôt bien.
moi manger bientot bien,Je mange bientôt bien.
moi aller bientot bien,Je pars bientôt bien.
ami aller bientot bien,Mon ami part bientôt bien.
nous aller bientot bien,Nous partons bientôt bien.
moi aller avec ami bien,Je pars avec mon ami bien.
tu aller avec moi bien,Tu pars avec moi bien.
nous aller avec ami bien,Nous partons avec mon ami bien.
ami aller avec moi bien,Mon ami part avec moi bien.
moi manger avec ami bien,Je mange avec mon ami bien.
moi apprendre avec ami bien,J'apprends avec mon ami bien.
moi apprendre ici bien,J'apprends ici bien.
tu apprendre ici bien,Tu apprends ici bien.
ami apprendre ici bien,Mon ami apprend ici bien.
nous apprendre ici bien,Nous apprenons ici bien.
moi manger ici bien,Je mange ici bien.
moi aller ici bien,Je pars ici bien.
ami manger ici bien,Mon ami mange ici bien.
moi changer bien bientot,Je change bien bientôt.
moi changer bien aujourd hui,Aujourd'hui je change bien.
ami changer bien bientot,Mon ami change bien bientôt.
nous changer bien aujourd hui,Aujourd'hui nous changeons bien.
moi vouloir changer bien,Je veux changer bien.
tu vouloir changer bien,Tu veux changer bien.
ami vouloir changer bien,Mon ami veut changer bien.
moi aimer changer bien,J'aime changer bien.
moi non vouloir changer bien,Je ne veux pas changer bien.
ami non vouloir changer bien,Mon ami ne veut pas changer bien.
moi vouloir apprendre bien avec ami,Je veux apprendre avec mon ami bien.
moi vouloir apprendre bien ici,Je veux apprendre bien ici.
moi vouloir manger bien ici,Je veux manger bien ici.
moi vouloir manger bien avec ami,Je veux manger avec mon ami bien.
moi vouloir aller bien avec ami,Je veux aller avec mon ami bien.
moi vouloir aller bien ici,Je veux aller bien ici.
tu vouloir apprendre bien avec moi,Tu veux apprendre avec moi bien.
nous vouloir apprendre bien avec ami,Nous voulons apprendre avec mon ami bien.
ami vouloir apprendre bien avec moi,Mon ami veut apprendre avec moi bien.
oui moi apprendre bien avec ami,Oui j'apprends avec mon ami bien !
oui tu apprendre bien avec moi,Oui tu apprends avec moi bien !
oui nous apprendre bien avec ami,Oui nous apprenons avec mon ami bien !
oui ami apprendre bien avec moi,Oui mon ami apprend avec moi bien !
non moi non apprendre bien avec ami,Non je n'apprends pas avec mon ami bien !
non ami non apprendre bien avec moi,Non mon ami n'apprend pas avec moi bien !
oui moi manger bien avec ami,Oui je mange avec mon ami bien !
oui nous aller bien avec ami,Oui nous partons avec mon ami bien !
non moi non aller bien avec ami,Non je ne pars pas avec mon ami bien !
non moi non changer bientot,Non je ne change pas bientôt !
oui ami changer aujourd hui,Aujourd'hui mon ami change !
non ami non changer aujourd hui,Aujourd'hui mon ami ne change pas !
bonjour moi apprendre bien,Bonjour j'apprends bien !
bonjour tu apprendre bien,Bonjour tu apprends bien !
bonjour nous apprendre bien,Bonjour nous apprenons bien !
bonjour ami apprendre bien,Bonjour mon ami apprend bien !
bonjour moi comprendre bien,Bonjour je comprends bien !
bonjour tu aller bien,Bonjour tu pars bien !
bonjour moi manger bien,Bonjour je mange bien !
bonjour nous manger avec ami,Bonjour nous mangeons avec mon ami !
bonjour moi vouloir manger,Bonjour je veux manger !
bonjour tu vouloir apprendre,Bonjour tu veux apprendre !
bonjour moi vouloir changer,Bonjour je veux changer !
bonjour ami aimer moi,Bonjour mon ami m'aime !
merci tu apprendre bien,Merci tu apprends bien !
merci moi apprendre bien,Merci j'apprends bien !
merci nous apprendre bien,Merci nous apprenons bien !
merci ami apprendre bien,Merci mon ami apprend bien !
merci moi manger bien,Merci je mange bien !
merci tu manger bien,Merci tu manges bien !
merci moi aller avec ami,Merci je pars avec mon ami !
merci ami aller avec moi,Merci mon ami part avec moi !
merci moi comprendre bien,Merci je comprends bien !
au revoir nous apprendre bientot,Au revoir nous apprenons bientôt !
au revoir ami manger bientot,Au revoir mon ami mange bientôt !
au revoir moi aller ici bientot,Au revoir je pars ici bientôt !
au revoir nous aller avec ami bientot,Au revoir nous partons avec mon ami bientôt !
moi apprendre ami,J'apprends mon ami.
moi manger ami,Je mange mon ami.
moi boire ami,Je bois mon ami.
moi aller ami,Je pars mon ami.
moi changer ami,Je change mon ami.
tu apprendre ami,Tu apprends mon ami.
tu manger ami,Tu manges mon ami.
tu aller ami,Tu pars mon ami.
nous apprendre ami,Nous apprenons mon ami.
nous manger ami,Nous mangeons mon ami.
nous aller ami,Nous partons mon ami.
nous changer ami,Nous changeons mon ami.
ami apprendre nous,Mon ami apprend nous.
ami manger nous,Mon ami mange nous.
ami aller nous,Mon ami part nous.
moi non apprendre ami,Je n'apprends pas mon ami.
moi non manger ami,Je ne mange pas mon ami.
moi non aller ami,Je ne pars pas mon ami.
tu non apprendre ami,Tu n'apprends pas mon ami.
ami non apprendre nous,Mon ami n'apprend pas nous.
ami non manger nous,Mon ami ne mange pas nous.
moi vouloir aide apprendre,Je veux de l'aide.
