signs,sentence
merci moi vouloir ami,"Merci, je veux un ami."
au revoir moi vouloir ami,Au revoir ! Je veux un ami.
moi vouloir amour,Je veux de l'amour.
tu vouloir amour,Tu veux de l'amour ?
nous vouloir amour,Nous voulons de l'amour.
moi non vouloir amour,Je ne veux pas de l'amour.
tu non vouloir amour,Tu ne veux pas de l'amour ?
oui moi vouloir amour,"Oui, je veux de l'amour."
non moi non vouloir amour,"Non, je ne veux pas de l'amour."
aujourd hui moi vouloir amour,"Aujourd'hui, je veux de l'amour."
moi vouloir amour aujourd hui,Je veux de l'amour aujourd'hui.
moi vouloir amour bientot,Je veux de l'amour bientôt.
bientot moi vouloir amour,"Bientôt, je veux de l'amour."
moi vouloir amour ici,Je veux de l'amour ici.
moi vouloir amour bien,Je veux vraiment de l'amour.
moi vouloir amour avec ami,Je veux de l'amour avec mon ami.
moi vouloir amour avec tu,Je veux de l'amour avec toi.
moi vouloir vouloir amour,Je veux vouloir de l'amour.
tu vouloir vouloir amour,Tu veux vouloir de l'amour ?
nous vouloir vouloir amour,Nous voulons vouloir de l'amour.
moi non vouloir vouloir amour,Je ne veux pas vouloir de l'amour.
aujourd hui moi vouloir vouloir amour,"Aujourd'hui, je veux vouloir de l'amour."
moi vouloir vouloir amour bientot,Je veux vouloir de l'amour bientôt.
moi vouloir vouloir amour avec ami,Je veux vouloir de l'amour avec mon ami.
moi aimer vouloir amour,J'aime vouloir de l'amour.
tu aimer vouloir amour,Tu aimes vouloir de l'amour ?
bonjour moi vouloir amour,Bonjour ! Je veux de l'amour.
merci moi vouloir amour,"Merci, je veux de l'amour."
au revoir moi vouloir amour,Au revoir ! Je veux de l'amour.
moi vouloir bebe,Je veux un bébé.
tu vouloir bebe,Tu veux un bébé ?
nous vouloir bebe,Nous voulons un bébé.
moi non vouloir bebe,Je ne veux pas un bébé.
tu non vouloir bebe,Tu ne veux pas un bébé ?
oui moi vouloir bebe,"Oui, je veux un bébé."
non moi non vouloir bebe,"Non, je ne veux pas un bébé."
aujourd hui moi vouloir bebe,"Aujourd'hui, je veux un bébé."
moi vouloir bebe aujourd hui,Je veux un bébé aujourd'hui.
moi vouloir bebe bientot,Je veux un bébé bientôt.
bientot moi vouloir bebe,"Bientôt, je veux un bébé."
moi vouloir bebe ici,Je veux un bébé ici.
moi vouloir bebe bien,Je veux vraiment un bébé.
moi vouloir bebe avec ami,Je veux un bébé avec mon ami.
moi vouloir bebe avec tu,Je veux un bébé avec toi.
moi vouloir vouloir bebe,Je veux vouloir un bébé.
tu vouloir vouloir bebe,Tu veux vouloir un bébé ?
nous vouloir vouloir bebe,Nous voulons vouloir un bébé.
moi non vouloir vouloir bebe,Je ne veux pas vouloir un bébé.
aujourd hui moi vouloir vouloir bebe,"Aujourd'hui, je veux vouloir un bébé."
moi vouloir vouloir bebe bientot,Je veux vouloir un bébé bientôt.
moi vouloir vouloir bebe avec ami,Je veux vouloir un bébé avec mon ami.
moi aimer vouloir bebe,J'aime vouloir un bébé.
tu aimer vouloir bebe,Tu aimes vouloir un bébé ?
bonjour moi vouloir bebe,Bonjour ! Je veux un bébé.
merci moi vouloir bebe,"Merci, je veux un bébé."
au revoir moi vouloir bebe,Au revoir ! Je veux un bébé.
moi vouloir chat,Je veux un chat.
tu vouloir chat,Tu veux un chat ?
nous vouloir chat,Nous voulons un chat.
moi non vouloir chat,Je ne veux pas un chat.
tu non vouloir chat,Tu ne veux pas un chat ?
oui moi vouloir chat,"Oui, je veux un chat."
non moi non vouloir chat,"Non, je ne veux pas un chat."
aujourd hui moi vouloir chat,"Aujourd'hui, je veux un chat."
moi vouloir chat aujourd hui,Je veux un chat aujourd'hui.
moi vouloir chat bientot,Je veux un chat bientôt.
bientot moi vouloir chat,"Bientôt, je veux un chat."
moi vouloir chat ici,Je veux un chat ici.
moi vouloir chat bien,Je veux vraiment un chat.
moi vouloir chat avec ami,Je veux un chat avec mon ami.
moi vouloir chat avec tu,Je veux un chat avec toi.
moi vouloir vouloir chat,Je veux vouloir un chat.
tu vouloir vouloir chat,Tu veux vouloir un chat ?
nous vouloir vouloir chat,Nous voulons vouloir un chat.
moi non vouloir vouloir chat,Je ne veux pas vouloir un chat.
aujourd hui moi vouloir vouloir chat,"Aujourd'hui, je veux vouloir un chat."
moi vouloir vouloir chat bientot,Je veux vouloir un chat bientôt.
moi vouloir vouloir chat avec ami,Je veux vouloir un chat avec mon ami.
moi aimer vouloir chat,J'aime vouloir un chat.
tu aimer vouloir chat,Tu aimes vouloir un chat ?
bonjour moi vouloir chat,Bonjour ! Je veux un chat.
merci moi vouloir chat,"Merci, je veux un chat."
au revoir moi vouloir chat,Au revoir ! Je veux un chat.
moi donner aide,Je donne de l'aide.
tu donner aide,Tu donnes de l'aide ?
nous donner aide,Nous donnons de l'aide.
moi non donner aide,Je ne donne pas de l'aide.
tu non donner aide,Tu ne donnes pas de l'aide ?
oui moi donner aide,"Oui, je donne de l'aide."
non moi non donner aide,"Non, je ne donne pas de l'aide."
aujourd hui moi donner aide,"Aujourd'hui, je donne de l'aide."
moi donner aide aujourd hui,Je donne de l'aide aujourd'hui.
moi donner aide bientot,Je donne de l'aide bientôt.
bientot moi donner aide,"Bientôt, je donne de l'aide."
moi donner aide ici,Je donne de l'aide ici.
moi donner aide bien,Je donne vraiment de l'aide.
moi donner aide avec ami,Je donne de l'aide avec mon ami.
moi donner aide avec tu,Je donne de l'aide avec toi.
moi vouloir donner aide,Je veux donner de l'aide.
tu vouloir donner aide,Tu veux donner de l'aide ?
nous vouloir donner aide,Nous voulons donner de l'aide.
moi non vouloir donner aide,Je ne veux pas donner de l'aide.
aujourd hui moi vouloir donner aide,"Aujourd'hui, je veux donner de l'aide."
moi vouloir donner aide bientot,Je veux donner de l'aide bientôt.
moi vouloir donner aide avec ami,Je veux donner de l'aide avec mon ami.
moi aimer donner aide,J'aime donner de l'aide.
tu aimer donner aide,Tu aimes donner de l'aide ?
bonjour moi donner aide,Bonjour ! Je donne de l'aide.
merci moi donner aide,"Merci, je donne de l'aide."
au revoir moi donner aide,Au revoir ! Je donne de l'aide.
moi donner amour,Je donne de l'amour.
tu donner amour,Tu donnes de l'amour ?
nous donner amour,Nous donnons de l'amour.
moi non donner amour,Je ne donne pas de l'amour.
tu non donner amour,Tu ne donnes pas de l'amour ?
oui moi donner amour,"Oui, je donne de l'amour."
non moi non donner amour,"Non, je ne donne pas de l'amour."
aujourd hui moi donner amour,"Aujourd'hui, je donne de l'amour."
moi donner amour aujourd hui,Je donne de l'amour aujourd'hui.
moi donner amour bientot,Je donne de l'amour bientôt.
bientot moi donner amour,"Bientôt, je donne de l'amour."
moi donner amour ici,Je donne de l'amour ici.
moi donner amour bien,Je donne vraiment de l'amour.
moi donner amour avec ami,Je donne de l'amour avec mon ami.
moi donner amour avec tu,Je donne de l'amour avec toi.
moi vouloir donner amour,Je veux donner de l'amour.
tu vouloir donner amour,Tu veux donner de l'amour ?
nous vouloir donner amour,Nous voulons donner de l'amour.
moi non vouloir donner amour,Je ne veux pas donner de l'amour.
aujourd hui moi vouloir donner amour,"Aujourd'hui, je veux donner de l'amour."
moi vouloir donner amour bientot,Je veux donner de l'amour bientôt.
moi vouloir donner amour avec ami,Je veux donner de l'amour avec mon ami.
moi aimer donner amour,J'aime donner de l'amour.
tu aimer donner amour,Tu aimes donner de l'amour ?
bonjour moi donner amour,Bonjour ! Je donne de l'amour.
merci moi donner amour,"Merci, je donne de l'amour."
au revoir moi donner amour,Au revoir ! Je donne de l'amour.
moi attendre ami,J'attends mon ami.
tu attendre ami,Tu attends mon ami ?
nous attendre ami,Nous attendons mon ami.
moi non attendre ami,Je n'attends pas mon ami.
tu non attendre ami,Tu n'attends pas mon ami ?
oui moi attendre ami,"Oui, j'attends mon ami."
non moi non attendre ami,"Non, je n'attends pas mon ami."
aujourd hui moi attendre ami,"Aujourd'hui, j'attends mon ami."
moi attendre ami aujourd hui,J'attends mon ami aujourd'hui.
moi attendre ami bientot,J'attends mon ami bientôt.
bientot moi attendre ami,"Bientôt, j'attends mon ami."
moi attendre ami ici,J'attends mon ami ici.
moi attendre ami bien,J'attends vraiment mon ami.
moi attendre ami avec ami,J'attends mon ami avec mon ami.
moi attendre ami avec tu,J'attends mon ami avec toi.
moi vouloir attendre ami,Je veux attendre mon ami.
tu vouloir attendre ami,Tu veux attendre mon ami ?
nous vouloir attendre ami,Nous voulons attendre mon ami.
moi non vouloir attendre ami,Je ne veux pas attendre mon ami.
aujourd hui moi vouloir attendre ami,"Aujourd'hui, je veux attendre mon ami."
moi vouloir attendre ami bientot,Je veux attendre mon ami bientôt.
moi vouloir attendre ami avec ami,Je veux attendre mon ami avec mon ami.
moi aimer attendre ami,J'aime attendre mon ami.
tu aimer attendre ami,Tu aimes attendre mon ami ?
bonjour moi attendre ami,Bonjour ! J'attends mon ami.
merci moi attendre ami,"Merci, j'attends mon ami."
au revoir moi attendre ami,Au revoir ! J'attends mon ami.
moi donner aide ami,Je donne de l'aide à mon ami.
tu donner aide ami,Tu donnes de l'aide à mon ami ?
nous donner aide ami,Nous donnons de l'aide à mon ami.
moi vouloir donner aide ami,Je veux donner de l'aide à mon ami.
aujourd hui moi donner aide ami,"Aujourd'hui, je donne de l'aide à mon ami."
moi donner aide ami bientot,Je vais donner de l'aide à mon ami bientôt.
moi donner aide bebe,Je donne de l'aide au bébé.
tu donner aide bebe,Tu donnes de l'aide au bébé ?
nous donner aide bebe,Nous donnons de l'aide au bébé.
moi vouloir donner aide bebe,Je veux donner de l'aide au bébé.
aujourd hui moi donner aide bebe,"Aujourd'hui, je donne de l'aide au bébé."
moi donner aide bebe bientot,Je vais donner de l'aide au bébé bientôt.
moi donner amour ami,Je donne de l'amour à mon ami.
tu donner amour ami,Tu donnes de l'amour à mon ami ?
nous donner amour ami,Nous donnons de l'amour à mon ami.
moi vouloir donner amour ami,Je veux donner de l'amour à mon ami.
aujourd hui moi donner amour ami,"Aujourd'hui, je donne de l'amour à mon ami."
moi donner amour ami bientot,Je vais donner de l'amour à mon ami bientôt.
moi donner amour bebe,Je donne de l'amour au bébé.
tu donner amour bebe,Tu donnes de l'amour au bébé ?
nous donner amour bebe,Nous donnons de l'amour au bébé.
moi vouloir donner amour bebe,Je veux donner de l'amour au bébé.
aujourd hui moi donner amour bebe,"Aujourd'hui, je donne de l'amour au bébé."
moi donner amour bebe bientot,Je vais donner de l'amour au bébé bientôt.
moi attendre ami,J'attends mon ami.
moi attendre ami ici,J'attends mon ami ici.
moi attendre ami bientot,J'attends mon ami bientôt.
aujourd hui moi attendre ami,"Aujourd'hui, j'attends mon ami."
moi attendre tu,J'attends toi.
moi attendre tu ici,J'attends toi ici.
moi attendre tu bientot,J'attends toi bientôt.
aujourd hui moi attendre tu,"Aujourd'hui, j'attends toi."
ami manger,Mon ami mange.
ami boire,Mon ami boit.
ami aller,Mon ami part.
ami apprendre,Mon ami apprend.
ami comprendre,Mon ami comprend.
ami changer,Mon ami change.
ami aimer moi,Mon ami m'aime.
ami aimer tu,Mon ami t'aime.
ami aimer amour,Mon ami aime l'amour.
ami aimer chat,Mon ami aime le chat.
ami aimer bebe,Mon ami aime le bébé.
ami vouloir aide,Mon ami veut de l'aide.
ami vouloir ami,Mon ami veut un ami.
ami attendre moi,Mon ami m'attend.
ami attendre tu,Mon ami t'attend.
ami donner aide,Mon ami donne de l'aide.
ami non manger,Mon ami ne mange pas.
ami non boire,Mon ami ne boit pas.
ami non aller,Mon ami ne part pas.
ami non comprendre,Mon ami ne comprend pas.
ami non apprendre,Mon ami n'apprend pas.
ami non changer,Mon ami ne change pas.
ami non aimer moi,Mon ami ne m'aime pas.
ami non vouloir aide,Mon ami ne veut pas d'aide.
ami non attendre moi,Mon ami ne m'attend pas.
ami non attendre tu,Mon ami ne t'attend pas.
bebe manger,Le bébé mange.
bebe boire,Le bébé boit.
bebe aller,Le bébé part.
bebe aimer chat,Le bébé aime le chat.
bebe aimer ami,Le bébé aime son ami.
bebe non manger,Le bébé ne mange pas.
bebe non boire,Le bébé ne boit pas.
chat manger,Le chat mange.
chat boire,Le chat boit.
chat aller,Le chat part.
chat aimer bebe,Le chat aime le bébé.
chat non manger,Le chat ne mange pas.
chat non boire,Le chat ne boit pas.
nous manger,Nous mangeons.
nous boire,Nous buvons.
nous aller,Nous partons.
nous aller ici,Nous allons ici.
nous apprendre,Nous apprenons.
nous comprendre,Nous comprenons.
nous changer,Nous changeons.
nous aimer,Nous aimons.
nous aimer ami,Nous aimons notre ami.
nous aimer amour,Nous aimons l'amour.
nous aimer chat,Nous aimons le chat.
nous aimer bebe,Nous aimons le bébé.
nous vouloir aide,Nous voulons de l'aide.
nous attendre ami,Nous attendons notre ami.
nous donner aide,Nous donnons de l'aide.
nous non manger,Nous ne mangeons pas.
nous non boire,Nous ne buvons pas.
nous non aller,Nous ne partons pas.
nous non comprendre,Nous ne comprenons pas.
nous non changer,Nous ne changeons pas.
nous non vouloir aide,Nous ne voulons pas d'aide.
nous non attendre ami,Nous n'attendons pas notre ami.
comment tu manger,Comment manges-tu ?
comment tu boire,Comment bois-tu ?
comment tu aller,Comment vas-tu ?
comment tu apprendre,Comment apprends-tu ?
comment tu comprendre,Comment comprends-tu ?
comment tu changer,Comment changes-tu ?
comment tu aimer,Comment aimes-tu ?
comment tu vouloir aide,Comment veux-tu de l'aide ?
comment tu attendre,Comment attends-tu ?
comment tu donner aide,Comment donnes-tu de l'aide ?
comment moi aller,Comment est-ce que je m'en vais ?
comment moi manger,Comment est-ce que je mange ?
comment moi apprendre,Comment est-ce que j'apprends ?
comment moi comprendre,Comment est-ce que je comprends ?
comment moi changer,Comment est-ce que je change ?
comment ami aller,Comment mon ami s'en va-t-il ?
comment ami manger,Comment mon ami mange-t-il ?
comment ami apprendre,Comment mon ami apprend-il ?
comment nous aller,Comment allons-nous ?
comment nous apprendre,Comment apprenons-nous ?
comment nous changer,Comment changeons-nous ?
moi aller avec ami,Je pars avec mon ami.
moi aller avec tu,Je pars avec toi.
tu aller avec moi,Tu pars avec moi.
tu aller avec ami,Tu pars avec ton ami.
nous aller avec ami,Nous partons avec notre ami.
moi manger avec ami,Je mange avec mon ami.
moi manger avec tu,Je mange avec toi.
tu manger avec moi,Tu manges avec moi.
nous manger avec ami,Nous mangeons avec notre ami.
moi boire avec ami,Je bois avec mon ami.
moi boire avec tu,Je bois avec toi.
tu boire avec moi,Tu bois avec moi.
nous boire avec ami,Nous buvons avec notre ami.
moi apprendre avec ami,J'apprends avec mon ami.
moi apprendre avec tu,J'apprends avec toi.
tu apprendre avec moi,Tu apprends avec moi.
nous apprendre avec ami,Nous apprenons avec notre ami.
ami manger avec moi,Mon ami mange avec moi.
ami manger avec tu,Mon ami mange avec toi.
ami boire avec moi,Mon ami boit avec moi.
ami aller avec moi,Mon ami part avec moi.
ami aller avec tu,Mon ami part avec toi.
ami apprendre avec moi,Mon ami apprend avec moi.
moi aller ici avec ami,Je vais ici avec mon ami.
moi aller ici avec tu,Je vais ici avec toi.
nous aller ici avec ami,Nous allons ici avec notre ami.
moi attendre ami avec tu,J'attends mon ami avec toi.
moi manger bientot,Je mange bientôt.
moi boire bientot,Je bois bientôt.
moi aller bientot,Je pars bientôt.
moi apprendre bientot,J'apprends bientôt.
moi comprendre bientot,Je comprends bientôt.
moi changer bientot,Je change bientôt.
tu manger bientot,Tu manges bientôt.
tu boire bientot,Tu bois bientôt.
tu aller bientot,Tu pars bientôt.
tu apprendre bientot,Tu apprends bientôt.
tu comprendre bientot,Tu comprends bientôt.
tu changer bientot,Tu changes bientôt.
nous manger bientot,Nous mangeons bientôt.
nous boire bientot,Nous buvons bientôt.
nous aller bientot,Nous partons bientôt.
nous apprendre bientot,Nous apprenons bientôt.
nous changer bientot,Nous changeons bientôt.
ami aller bientot,Mon ami part bientôt.
ami manger bientot,Mon ami mange bientôt.
ami apprendre bientot,Mon ami apprend bientôt.
ami changer bientot,Mon ami change bientôt.
moi vouloir aide bientot,Je veux de l'aide bientôt.
tu vouloir aide bientot,Tu veux de l'aide bientôt.
moi donner aide bientot,Je donne de l'aide bientôt.
moi attendre ami bientot,J'attends mon ami bientôt.
moi aller avec ami bientot,Je pars avec mon ami bientôt.
tu aller avec moi bientot,Tu pars avec moi bientôt.
nous aller bientot avec ami,Nous partons bientôt avec notre ami.
aujourd hui moi manger,"Aujourd'hui, je mange."
aujourd hui moi boire,"Aujourd'hui, je bois."
aujourd hui moi aller,"Aujourd'hui, je pars."
aujourd hui moi apprendre,"Aujourd'hui, j'apprends."
aujourd hui moi comprendre,"Aujourd'hui, je comprends."
aujourd hui moi changer,"Aujourd'hui, je change."
aujourd hui moi aimer ami,"Aujourd'hui, j'aime mon ami."
aujourd hui moi vouloir aide,"Aujourd'hui, je veux de l'aide."
aujourd hui moi donner aide,"Aujourd'hui, je donne de l'aide."
aujourd hui tu manger,"Aujourd'hui, tu manges."
aujourd hui tu boire,"Aujourd'hui, tu bois."
aujourd hui tu aller,"Aujourd'hui, tu pars."
aujourd hui tu apprendre,"Aujourd'hui, tu apprends."
aujourd hui tu comprendre,"Aujourd'hui, tu comprends."
aujourd hui tu changer,"Aujourd'hui, tu changes."
aujourd hui nous manger,"Aujourd'hui, nous mangeons."
aujourd hui nous boire,"Aujourd'hui, nous buvons."
aujourd hui nous aller,"Aujourd'hui, nous partons."
aujourd hui nous apprendre,"Aujourd'hui, nous apprenons."
aujourd hui nous changer,"Aujourd'hui, nous changeons."
aujourd hui nous aller avec ami,"Aujourd'hui, nous allons avec notre ami."
aujourd hui ami manger,"Aujourd'hui, mon ami mange."
aujourd hui ami aller,"Aujourd'hui, mon ami part."
aujourd hui ami apprendre,"Aujourd'hui, mon ami apprend."
aujourd hui ami changer,"Aujourd'hui, mon ami change."
aujourd hui moi non manger,"Aujourd'hui, je ne mange pas."
aujourd hui moi non aller,"Aujourd'hui, je ne pars pas."
aujourd hui tu non aller,"Aujourd'hui, tu ne pars pas."
aujourd hui nous non aller,"Aujourd'hui, nous ne partons pas."
aujourd hui ami non aller,"Aujourd'hui, mon ami ne part pas."
moi vouloir aller avec ami,Je veux aller avec mon ami.
moi vouloir aller ici avec ami,Je veux aller ici avec mon ami.
moi vouloir apprendre avec ami,Je veux apprendre avec mon ami.
moi vouloir apprendre avec tu,Je veux apprendre avec toi.
moi vouloir manger avec ami,Je veux manger avec mon ami.
moi vouloir boire avec ami,Je veux boire avec mon ami.
tu vouloir aller avec moi,Tu veux aller avec moi.
tu vouloir manger avec moi,Tu veux manger avec moi.
tu vouloir apprendre avec moi,Tu veux apprendre avec moi.
nous vouloir aller avec ami,Nous voulons aller avec notre ami.
nous vouloir apprendre avec ami,Nous voulons apprendre avec notre ami.
moi vouloir aide aujourd hui,Je veux de l'aide aujourd'hui.
moi vouloir aller bientot,Je veux partir bientôt.
moi vouloir apprendre aujourd hui,Je veux apprendre aujourd'hui.
tu vouloir apprendre aujourd hui,Tu veux apprendre aujourd'hui.
nous vouloir apprendre aujourd hui,Nous voulons apprendre aujourd'hui.
moi vouloir changer aujourd hui,Je veux changer aujourd'hui.
moi vouloir changer bientot,Je veux changer bientôt.
tu vouloir changer bientot,Tu veux changer bientôt.
moi aimer aller avec ami,J'aime aller avec mon ami.
moi aimer manger avec ami,J'aime manger avec mon ami.
moi aimer apprendre avec ami,J'aime apprendre avec mon ami.
tu aimer aller avec moi,Tu aimes aller avec moi.
tu aimer manger avec moi,Tu aimes manger avec moi.
nous aimer aller avec ami,Nous aimons aller avec notre ami.
aujourd hui moi aller avec ami,"Aujourd'hui, je pars avec mon ami."
aujourd hui tu aller avec moi,"Aujourd'hui, tu pars avec moi."
aujourd hui nous aller ici,"Aujourd'hui, nous allons ici."
aujourd hui moi vouloir aller ici,"Aujourd'hui, je veux aller ici."
aujourd hui moi vouloir aide,"Aujourd'hui, je veux de l'aide."
ami non vouloir aller avec moi,Mon ami ne veut pas aller avec moi.
ami non vouloir aide,Mon ami ne veut pas d'aide.
moi non vouloir changer,Je ne veux pas changer.
tu non vouloir changer,Tu ne veux pas changer.
nous non vouloir changer,Nous ne voulons pas changer.
moi non vouloir aller ici,Je ne veux pas aller ici.
tu non vouloir aller ici,Tu ne veux pas aller ici.
moi non vouloir manger bientot,Je ne veux pas manger bientôt.
moi non vouloir apprendre aujourd hui,Je ne veux pas apprendre aujourd'hui.
tu non vouloir apprendre aujourd hui,Tu ne veux pas apprendre aujourd'hui.
bonjour comment aller,"Bonjour, comment allez-vous ?"
bonjour bien,"Bonjour, je vais bien."
bonjour tu bien,"Bonjour, tu vas bien ?"
bonjour ami bien,"Bonjour, mon ami va bien."
bonjour moi aimer tu,"Bonjour, je t'aime."
bonjour tu aller avec moi,"Bonjour, tu vas avec moi ?"
bonjour nous apprendre aujourd hui,"Bonjour, nous apprenons aujourd'hui."
bonjour moi manger avec tu,"Bonjour, je mange avec toi."
merci tu aide,Merci pour ton aide.
merci ami aide,Merci pour l'aide de mon ami.
merci tu vouloir aide,Merci de vouloir aider.
merci moi apprendre,"Merci, j'apprends."
merci moi comprendre,"Merci, je comprends."
merci moi bien comprendre,"Merci, je comprends bien."
merci ami donner aide,"Merci, mon ami donne de l'aide."
au revoir bientot,"Au revoir, à bientôt."
au revoir moi aller,"Au revoir, je pars."
au revoir ami aller,"Au revoir, mon ami part."
au revoir ami aller bientot,"Au revoir, mon ami part bientôt."
au revoir aujourd hui,Au revoir pour aujourd'hui.
au revoir moi aller bientot,"Au revoir, je pars bientôt."
au revoir nous aller,"Au revoir, nous partons."
bonjour au revoir,Bonjour et au revoir.
moi manger bien,Je mange bien.
tu manger bien,Tu manges bien.
nous manger bien,Nous mangeons bien.
ami manger bien,Mon ami mange bien.
moi boire bien,Je bois bien.
tu boire bien,Tu bois bien.
moi apprendre bien,J'apprends bien.
tu apprendre bien,Tu apprends bien.
nous apprendre bien,Nous apprenons bien.
ami apprendre bien,Mon ami apprend bien.
moi comprendre bien,Je comprends bien.
tu comprendre bien,Tu comprends bien.
nous comprendre bien,Nous comprenons bien.
ami comprendre bien,Mon ami comprend bien.
moi aller bien,Je vais bien.
tu aller bien,Tu vas bien.
ami aller bien,Mon ami va bien.
nous aller bien,Nous allons bien.
moi non aller bien,Je ne vais pas bien.
tu non aller bien,Tu ne vas pas bien.
ami non aller bien,Mon ami ne va pas bien.
nous non aller bien,Nous n'allons pas bien.
moi aimer ami bien,J'aime vraiment mon ami.
tu aimer moi bien,Tu m'aimes vraiment.
moi bon,Je suis bon.
tu bon,Tu es bon.
ami bon,Mon ami est bon.
moi non bon,Je ne suis pas bon.
tu non bon,Tu n'es pas bon.
moi manger ici,Je mange ici.
tu manger ici,Tu manges ici.
nous manger ici,Nous mangeons ici.
ami manger ici,Mon ami mange ici.
moi boire ici,Je bois ici.
tu boire ici,Tu bois ici.
nous boire ici,Nous buvons ici.
ami boire ici,Mon ami boit ici.
moi apprendre ici,J'apprends ici.
tu apprendre ici,Tu apprends ici.
nous apprendre ici,Nous apprenons ici.
ami apprendre ici,Mon ami apprend ici.
moi aimer ici,J'aime ici.
tu aimer ici,Tu aimes ici.
moi attendre ami ici,J'attends mon ami ici.
tu attendre moi ici,Tu m'attends ici.
ami attendre moi ici,Mon ami m'attend ici.
ami attendre tu ici,Mon ami t'attend ici.
nous attendre ami ici,Nous attendons notre ami ici.
moi donner aide ici,Je donne de l'aide ici.
tu donner aide ici,Tu donnes de l'aide ici.
ami donner aide ici,Mon ami donne de l'aide ici.
nous donner aide ici,Nous donnons de l'aide ici.
moi non aller ici,Je ne vais pas ici.
tu non manger ici,Tu ne manges pas ici.
nous non boire ici,Nous ne buvons pas ici.
moi non apprendre ici,Je n'apprends pas ici.
ami non manger ici,Mon ami ne mange pas ici.
ami non aller ici,Mon ami ne va pas ici.
oui moi manger,"Oui, je mange."
oui moi boire,"Oui, je bois."
oui moi aller,"Oui, je pars."
oui moi apprendre,"Oui, j'apprends."
oui moi comprendre,"Oui, je comprends."
oui moi changer,"Oui, je change."
oui moi aimer ami,"Oui, j'aime mon ami."
oui moi vouloir aide,"Oui, je veux de l'aide."
oui moi aller ici,"Oui, je vais ici."
oui moi aller avec ami,"Oui, je pars avec mon ami."
oui moi attendre ami,"Oui, j'attends mon ami."
oui moi donner aide,"Oui, je donne de l'aide."
oui tu aller,"Oui, tu pars."
oui tu apprendre,"Oui, tu apprends."
oui tu comprendre,"Oui, tu comprends."
oui tu vouloir aide,"Oui, tu veux de l'aide."
oui nous aller,"Oui, nous partons."
oui nous manger,"Oui, nous mangeons."
oui nous apprendre,"Oui, nous apprenons."
oui ami aller,"Oui, mon ami part."
oui ami manger,"Oui, mon ami mange."
oui ami apprendre,"Oui, mon ami apprend."
oui ami vouloir aide,"Oui, mon ami veut de l'aide."
non moi non manger,"Non, je ne mange pas."
non moi non boire,"Non, je ne bois pas."
non moi non aller,"Non, je ne pars pas."
non moi non comprendre,"Non, je ne comprends pas."
non moi non vouloir aide,"Non, je ne veux pas d'aide."
non moi non apprendre,"Non, je n'apprends pas."
non moi non changer,"Non, je ne change pas."
non tu non aller,"Non, tu ne pars pas."
non tu non apprendre,"Non, tu n'apprends pas."
non nous non aller,"Non, nous ne partons pas."
non nous non apprendre,"Non, nous n'apprenons pas."
non ami non aller,"Non, mon ami ne part pas."
non ami non manger,"Non, mon ami ne mange pas."
non ami non vouloir aide,"Non, mon ami ne veut pas d'aide."
moi aimer amour,J'aime l'amour.
tu aimer amour,Tu aimes l'amour.
nous aimer amour,Nous aimons l'amour.
ami aimer amour,Mon ami aime l'amour.
moi vouloir amour,Je veux de l'amour.
tu vouloir amour,Tu veux de l'amour.
nous vouloir amour,Nous voulons de l'amour.
ami vouloir amour,Mon ami veut de l'amour.
moi donner amour ami,Je donne de l'amour à mon ami.
tu donner amour moi,Tu me donnes de l'amour.
ami donner amour moi,Mon ami me donne de l'amour.
moi non vouloir amour,Je ne veux pas d'amour.
tu non vouloir amour,Tu ne veux pas d'amour.
moi aimer amour bien,J'aime vraiment l'amour.
moi aimer ami avec amour,J'aime mon ami avec amour.
tu aimer moi avec amour,Tu m'aimes avec amour.
amour,L'amour.
moi amour,Mon amour.
tu amour,Ton amour.
bonjour amour,Bonjour mon amour.
au revoir amour,Au revoir mon amour.
merci amour,Merci mon amour.
moi aimer bebe,J'aime le bébé.
tu aimer bebe,Tu aimes le bébé.
nous aimer bebe,Nous aimons le bébé.
ami aimer bebe,Mon ami aime le bébé.
chat aimer bebe,Le chat aime le bébé.
moi vouloir bebe,Je veux un bébé.
tu vouloir bebe,Tu veux un bébé.
nous vouloir bebe,Nous voulons un bébé.
moi non vouloir bebe,Je ne veux pas de bébé.
moi donner aide bebe,Je donne de l'aide au bébé.
tu donner aide bebe,Tu donnes de l'aide au bébé.
ami donner aide bebe,Mon ami donne de l'aide au bébé.
moi attendre bebe,J'attends le bébé.
tu attendre bebe,Tu attends le bébé.
nous attendre bebe,Nous attendons le bébé.
ami attendre bebe,Mon ami attend le bébé.
bebe aller avec moi,Le bébé vient avec moi.
bebe aller avec ami,Le bébé vient avec son ami.
bebe aimer chat,Le bébé aime le chat.
bebe aimer moi,Le bébé m'aime.
bebe non manger bientot,Le bébé ne mange pas bientôt.
bebe manger bien,Le bébé mange bien.
bebe boire bien,Le bébé boit bien.
moi aimer chat,J'aime le chat.
tu aimer chat,Tu aimes le chat.
nous aimer chat,Nous aimons le chat.
ami aimer chat,Mon ami aime le chat.
bebe aimer chat,Le bébé aime le chat.
moi vouloir chat,Je veux un chat.
tu vouloir chat,Tu veux un chat.
nous vouloir chat,Nous voulons un chat.
ami vouloir chat,Mon ami veut un chat.
moi non vouloir chat,Je ne veux pas de chat.
chat manger bien,Le chat mange bien.
chat manger ici,Le chat mange ici.
